n	real_n	max_n	Time (s)	m	r
27.0	27.0	45.0	0.014796018600463867	10.0	2.0
27.0	27.0	45.0	0.014159440994262695	10.0	2.0
27.0	27.0	45.0	0.014741659164428711	10.0	2.0
28.0	28.0	45.0	0.015438318252563477	10.0	2.0
28.0	28.0	45.0	0.014741659164428711	10.0	2.0
29.0	29.0	45.0	0.016824960708618164	10.0	2.0
29.0	29.0	45.0	0.015449047088623047	10.0	2.0
30.0	30.0	45.0	0.016436338424682617	10.0	2.0
30.0	30.0	45.0	0.016785860061645508	10.0	2.0
31.0	31.0	45.0	0.01700305938720703	10.0	2.0
31.0	31.0	45.0	0.017286300659179688	10.0	2.0
31.0	31.0	45.0	0.017317771911621094	10.0	2.0
32.0	32.0	45.0	0.01784348487854004	10.0	2.0
32.0	32.0	45.0	0.017931222915649414	10.0	2.0
33.0	33.0	45.0	0.018674850463867188	10.0	2.0
33.0	33.0	45.0	0.019370079040527344	10.0	2.0
34.0	34.0	45.0	0.019430160522460938	10.0	2.0
34.0	34.0	45.0	0.01935887336730957	10.0	2.0
35.0	35.0	45.0	0.020827770233154297	10.0	2.0
35.0	35.0	45.0	0.020117998123168945	10.0	2.0
36.0	36.0	45.0	0.02216053009033203	10.0	2.0
36.0	36.0	45.0	0.02178478240966797	10.0	2.0
36.0	36.0	45.0	0.02156686782836914	10.0	2.0
37.0	37.0	45.0	0.022151947021484375	10.0	2.0
37.0	37.0	45.0	0.02422332763671875	10.0	2.0
38.0	38.0	45.0	0.023421525955200195	10.0	2.0
38.0	38.0	45.0	0.024110794067382812	10.0	2.0
39.0	39.0	45.0	0.02464890480041504	10.0	2.0
39.0	39.0	45.0	0.02454543113708496	10.0	2.0
40.0	40.0	45.0	0.02604842185974121	10.0	2.0
40.0	40.0	45.0	0.026059865951538086	10.0	2.0
40.0	40.0	45.0	0.02533745765686035	10.0	2.0
41.0	41.0	45.0	0.031546592712402344	10.0	2.0
41.0	41.0	45.0	0.02639460563659668	10.0	2.0
42.0	42.0	45.0	0.052188873291015625	10.0	2.0
42.0	42.0	45.0	0.027942895889282227	10.0	2.0
43.0	43.0	45.0	0.027930021286010742	10.0	2.0
43.0	43.0	45.0	0.05018019676208496	10.0	2.0
44.0	44.0	45.0	0.09490180015563965	10.0	2.0
44.0	44.0	45.0	0.06426453590393066	10.0	2.0
72.0	72.0	120.0	0.05715370178222656	10.0	3.0
73.0	73.0	120.0	0.05734062194824219	10.0	3.0
74.0	74.0	120.0	0.060083627700805664	10.0	3.0
75.0	75.0	120.0	0.06074833869934082	10.0	3.0
76.0	76.0	120.0	0.06209921836853027	10.0	3.0
78.0	78.0	120.0	0.06415772438049316	10.0	3.0
79.0	79.0	120.0	0.06630373001098633	10.0	3.0
80.0	80.0	120.0	0.06682705879211426	10.0	3.0
81.0	81.0	120.0	0.06802082061767578	10.0	3.0
82.0	82.0	120.0	0.0697486400604248	10.0	3.0
84.0	84.0	120.0	0.07282567024230957	10.0	3.0
85.0	85.0	120.0	0.07250165939331055	10.0	3.0
