m	n	Time (s)
20	50	0.1815023422241211
20	150	0.6776351928710938
20	250	1.5264687538146973
20	350	2.7968599796295166
20	450	4.525721073150635
20	550	6.616344451904297
20	650	9.110668897628784
20	750	12.096139907836914
20	850	15.758277893066406
20	950	19.32886815071106
20	1050	23.790836095809937
20	1150	27.936235904693604
20	1250	33.443986892700195
20	1350	38.638081789016724
20	1450	45.10593128204346
20	1550	51.020782709121704
20	1650	58.24377632141113
20	1750	65.50089716911316
20	1850	74.25382256507874
20	1950	82.55791449546814
20	2050	94.94311594963074
20	2150	103.2035973072052
20	2250	110.2144706249237
20	2350	120.28720474243164
20	2450	130.92133021354675
20	2550	141.99956059455872
20	2650	154.376606464386
20	2750	165.88252568244934
20	2850	178.4095299243927
20	2950	189.0781102180481
21	50	0.20557951927185059
21	150	0.7233214378356934
21	250	1.6815664768218994
21	350	3.126358985900879
21	450	4.994211435317993
21	550	7.266824007034302
21	650	10.019468069076538
21	750	13.240448951721191
21	850	17.25265622138977
21	950	21.363073348999023
21	1050	25.489140510559082
21	1150	30.531906366348267
21	1250	36.28268909454346
21	1350	42.393970251083374
21	1450	48.8069281578064
21	1550	56.011730670928955
21	1650	63.86924362182617
21	1750	71.95891809463501
21	1850	80.76109576225281
21	1950	89.59579706192017
21	2050	99.33960056304932
21	2150	108.84441375732422
21	2250	119.01089572906494
21	2350	130.88358163833618
21	2450	142.9214208126068
21	2550	153.91431331634521
21	2650	165.79452848434448
21	2750	179.1341953277588
21	2850	192.92814016342163
21	2950	207.62976050376892
22	50	0.24686312675476074
22	150	0.8101058006286621
22	250	1.8661980628967285
22	350	3.3950717449188232
22	450	5.426559686660767
22	550	8.020653009414673
22	650	10.979642391204834
22	750	14.45180082321167
22	850	18.442786693572998
22	950	22.898848056793213
22	1050	27.908499002456665
22	1150	33.3639121055603
22	1250	39.728320360183716
22	1350	45.92832064628601
22	1450	52.85212159156799
22	1550	60.998414039611816
22	1650	68.78435730934143
22	1750	77.58570742607117
22	1850	87.40823745727539
22	1950	96.60817289352417
22	2050	107.25405931472778
22	2150	117.96602368354797
22	2250	129.05882811546326
22	2350	141.18504762649536
22	2450	153.66071343421936
22	2550	167.1064760684967
22	2650	181.46494102478027
22	2750	196.48929810523987
22	2850	209.25637102127075
22	2950	224.39922738075256
23	50	0.33711862564086914
23	150	0.9097499847412109
23	250	2.0476765632629395
23	350	3.7370455265045166
23	450	5.9403228759765625
23	550	8.98896837234497
23	650	12.084509372711182
23	750	15.83646821975708
23	850	20.218112468719482
23	950	25.127521276474
23	1050	30.428308725357056
23	1150	36.45772457122803
23	1250	43.09597420692444
23	1350	50.039886474609375
23	1450	57.80100893974304
23	1550	65.90340232849121
23	1650	74.81088089942932
23	1750	84.30965113639832
23	1850	94.17557072639465
23	1950	105.00936961174011
23	2050	116.11324954032898
23	2150	128.498854637146
23	2250	140.58408188819885
23	2350	153.6442427635193
23	2450	167.06902837753296
23	2550	181.38731980323792
23	2650	196.09206557273865
23	2750	212.2661759853363
23	2850	227.55046558380127
23	2950	243.92564988136292
24	50	0.405611515045166
24	150	1.0280969142913818
24	250	2.2694344520568848
24	350	4.11487340927124
24	450	6.489587068557739
24	550	9.476229429244995
24	650	13.085938453674316
24	750	17.23410964012146
24	850	22.052163124084473
24	950	27.239080905914307
24	1050	33.153400182724
24	1150	39.78824329376221
24	1250	46.85502505302429
24	1350	54.39544606208801
24	1450	63.10567307472229
24	1550	71.66959476470947
24	1650	81.4861946105957
24	1750	91.62866497039795
24	1850	102.68547224998474
24	1950	113.93608903884888
24	2050	126.32385325431824
24	2150	139.07322335243225
24	2250	152.39305758476257
24	2350	167.06542944908142
24	2450	181.36530566215515
24	2550	197.30875492095947
24	2650	213.13474440574646
24	2750	230.68931937217712
24	2850	247.38047814369202
24	2950	264.9798495769501
