n	real_n	max_n	Time (s)	m	r
27.0	27.0	45.0	0.38765597343444824	10.0	2.0
27.0	27.0	45.0	0.2774193286895752	10.0	2.0
27.0	27.0	45.0	0.6650292873382568	10.0	2.0
28.0	28.0	45.0	0.4868052005767822	10.0	2.0
28.0	28.0	45.0	0.4714221954345703	10.0	2.0
29.0	0.0	45.0	0.5129411220550537	10.0	2.0
29.0	0.0	45.0	0.5018191337585449	10.0	2.0
30.0	0.0	45.0	0.5554101467132568	10.0	2.0
30.0	0.0	45.0	0.5039055347442627	10.0	2.0
31.0	0.0	45.0	0.440218448638916	10.0	2.0
31.0	0.0	45.0	0.6154038906097412	10.0	2.0
31.0	0.0	45.0	0.6517050266265869	10.0	2.0
32.0	0.0	45.0	0.42869091033935547	10.0	2.0
32.0	0.0	45.0	0.14117789268493652	10.0	2.0
33.0	0.0	45.0	0.16951704025268555	10.0	2.0
33.0	0.0	45.0	0.12700271606445312	10.0	2.0
34.0	0.0	45.0	0.09305262565612793	10.0	2.0
34.0	0.0	45.0	0.0534515380859375	10.0	2.0
35.0	0.0	45.0	0.0736074447631836	10.0	2.0
35.0	0.0	45.0	0.10575675964355469	10.0	2.0
36.0	0.0	45.0	0.02878117561340332	10.0	2.0
36.0	0.0	45.0	0.033980369567871094	10.0	2.0
36.0	0.0	45.0	0.04897642135620117	10.0	2.0
37.0	0.0	45.0	0.00973200798034668	10.0	2.0
37.0	0.0	45.0	0.03969430923461914	10.0	2.0
38.0	0.0	45.0	0.007098197937011719	10.0	2.0
38.0	0.0	45.0	0.007178783416748047	10.0	2.0
39.0	0.0	45.0	0.0025255680084228516	10.0	2.0
39.0	0.0	45.0	0.002489805221557617	10.0	2.0
40.0	0.0	45.0	0.0028858184814453125	10.0	2.0
40.0	0.0	45.0	0.002934694290161133	10.0	2.0
40.0	0.0	45.0	0.003081798553466797	10.0	2.0
41.0	0.0	45.0	0.0029757022857666016	10.0	2.0
41.0	0.0	45.0	0.0029184818267822266	10.0	2.0
42.0	0.0	45.0	0.002882719039916992	10.0	2.0
42.0	0.0	45.0	0.003009319305419922	10.0	2.0
43.0	0.0	45.0	0.002995729446411133	10.0	2.0
43.0	0.0	45.0	0.0029861927032470703	10.0	2.0
44.0	0.0	45.0	0.003008127212524414	10.0	2.0
44.0	0.0	45.0	0.0029594898223876953	10.0	2.0
72.0	72.0	120.0	0.03461909294128418	10.0	3.0
73.0	73.0	120.0	0.036055564880371094	10.0	3.0
74.0	74.0	120.0	0.0260617733001709	10.0	3.0
75.0	75.0	120.0	0.03579854965209961	10.0	3.0
76.0	76.0	120.0	0.027305126190185547	10.0	3.0
78.0	78.0	120.0	0.0916450023651123	10.0	3.0
79.0	79.0	120.0	0.042588233947753906	10.0	3.0
80.0	80.0	120.0	0.02796196937561035	10.0	3.0
81.0	81.0	120.0	0.054906606674194336	10.0	3.0
82.0	82.0	120.0	0.045682430267333984	10.0	3.0
84.0	84.0	120.0	0.07676887512207031	10.0	3.0
85.0	85.0	120.0	0.08931946754455566	10.0	3.0
86.0	86.0	120.0	0.07886457443237305	10.0	3.0
87.0	87.0	120.0	0.09525704383850098	10.0	3.0
88.0	88.0	120.0	0.0782322883605957	10.0	3.0
90.0	90.0	120.0	0.11198878288269043	10.0	3.0
91.0	91.0	120.0	0.25858306884765625	10.0	3.0
92.0	92.0	120.0	0.1245884895324707	10.0	3.0
93.0	93.0	120.0	0.2253882884979248	10.0	3.0
94.0	94.0	120.0	0.24079298973083496	10.0	3.0
96.0	96.0	120.0	0.17926430702209473	10.0	3.0
97.0	0.0	120.0	0.8271584510803223	10.0	3.0
98.0	0.0	120.0	0.5696864128112793	10.0	3.0
99.0	0.0	120.0	0.7390234470367432	10.0	3.0
100.0	0.0	120.0	0.6706323623657227	10.0	3.0
102.0	0.0	120.0	0.5889372825622559	10.0	3.0
103.0	0.0	120.0	0.8546183109283447	10.0	3.0
104.0	0.0	120.0	0.5038626194000244	10.0	3.0
105.0	0.0	120.0	0.42627835273742676	10.0	3.0
106.0	0.0	120.0	0.2939951419830322	10.0	3.0
108.0	0.0	120.0	0.4559047222137451	10.0	3.0
109.0	0.0	120.0	0.15478086471557617	10.0	3.0
110.0	0.0	120.0	0.19841766357421875	10.0	3.0
111.0	0.0	120.0	0.19504666328430176	10.0	3.0
112.0	0.0	120.0	0.051367759704589844	10.0	3.0
114.0	0.0	120.0	0.08717513084411621	10.0	3.0
115.0	0.0	120.0	0.09165453910827637	10.0	3.0
116.0	0.0	120.0	0.02831125259399414	10.0	3.0
117.0	0.0	120.0	0.024952173233032227	10.0	3.0
118.0	0.0	120.0	0.04748797416687012	10.0	3.0
126.0	126.0	210.0	0.0569148063659668	10.0	4.0
128.0	128.0	210.0	0.05882143974304199	10.0	4.0
130.0	130.0	210.0	0.06000041961669922	10.0	4.0
132.0	132.0	210.0	0.05968213081359863	10.0	4.0
134.0	134.0	210.0	0.060816287994384766	10.0	4.0
136.0	136.0	210.0	0.06292247772216797	10.0	4.0
138.0	138.0	210.0	0.0667874813079834	10.0	4.0
140.0	140.0	210.0	0.06660580635070801	10.0	4.0
142.0	142.0	210.0	0.06817817687988281	10.0	4.0
144.0	144.0	210.0	0.07171821594238281	10.0	4.0
147.0	147.0	210.0	0.07929039001464844	10.0	4.0
149.0	149.0	210.0	0.08920025825500488	10.0	4.0
151.0	151.0	210.0	0.0733499526977539	10.0	4.0
153.0	153.0	210.0	0.0880594253540039	10.0	4.0
