r	n	Time (s)
4	50	0.1097877025604248
4	150	0.27155208587646484
4	250	0.46448516845703125
4	350	0.7014439105987549
4	450	0.9626684188842773
4	550	1.2725768089294434
4	650	1.5978789329528809
4	750	1.9836111068725586
4	850	2.4214038848876953
4	950	2.8594703674316406
4	1050	3.3310792446136475
4	1150	3.838151216506958
4	1250	4.456697702407837
4	1350	5.016303539276123
4	1450	5.667944669723511
4	1550	6.266409158706665
4	1650	6.952860593795776
4	1750	8.092264175415039
4	1850	8.634878873825073
4	1950	9.361024856567383
4	2050	10.195017337799072
4	2150	11.0813570022583
4	2250	12.011428594589233
4	2350	13.099198341369629
4	2450	14.00536561012268
4	2550	15.03923773765564
4	2650	16.119049310684204
4	2750	17.77380609512329
4	2850	18.367021560668945
4	2950	19.74828028678894
5	50	0.2419888973236084
5	150	0.415280818939209
5	250	0.6333513259887695
5	350	0.8953206539154053
5	450	1.275623083114624
5	550	1.6089212894439697
5	650	1.987398386001587
5	750	2.451220989227295
5	850	2.983109712600708
5	950	3.5254409313201904
5	1050	4.114924192428589
5	1150	4.8037109375
5	1250	5.522900342941284
5	1350	6.2459564208984375
5	1450	7.043156147003174
5	1550	7.921984434127808
5	1650	8.795589685440063
5	1750	9.772629499435425
5	1850	10.828043222427368
5	1950	11.815734386444092
5	2050	12.878189325332642
5	2150	14.230171203613281
5	2250	15.371869802474976
5	2350	16.492857217788696
5	2450	17.737459182739258
5	2550	19.186530590057373
5	2650	20.993637323379517
5	2750	21.953219652175903
5	2850	23.6243736743927
5	2950	24.89553737640381
6	50	0.5373141765594482
6	150	0.7064104080200195
6	250	0.9836118221282959
6	350	1.2430088520050049
6	450	1.619657039642334
6	550	2.006308078765869
6	650	2.5200917720794678
6	750	3.0670902729034424
6	850	3.684800386428833
6	950	4.318414688110352
6	1050	5.102097749710083
6	1150	5.887192964553833
6	1250	6.900430679321289
6	1350	7.6041905879974365
6	1450	8.551435947418213
6	1550	9.720316648483276
6	1650	10.832006454467773
6	1750	11.944756984710693
6	1850	13.152220726013184
6	1950	14.429626703262329
6	2050	15.794844627380371
6	2150	17.293033838272095
6	2250	18.72890830039978
6	2350	20.194321870803833
6	2450	21.967836141586304
6	2550	23.455830335617065
6	2650	25.075258016586304
6	2750	27.40356183052063
6	2850	28.803221464157104
6	2950	30.71202063560486
