m	n	Time (s)
20	50	0.10268759727478027
20	150	0.26502537727355957
20	250	0.46363258361816406
20	350	0.6928150653839111
20	450	0.9791691303253174
20	550	1.3174688816070557
20	650	1.5897173881530762
20	750	1.9817478656768799
20	850	2.394277811050415
20	950	2.846158742904663
20	1050	3.3040432929992676
20	1150	3.9391086101531982
20	1250	4.418975114822388
20	1350	5.000886678695679
20	1450	5.672576665878296
20	1550	6.240146160125732
20	1650	6.907698154449463
20	1750	7.778023958206177
20	1850	8.502804517745972
20	1950	9.330828428268433
20	2050	10.27079439163208
20	2150	11.062448740005493
20	2250	12.062061548233032
20	2350	13.109375476837158
20	2450	14.028001308441162
20	2550	15.09506344795227
20	2650	16.351274251937866
20	2750	17.24880623817444
20	2850	18.374295234680176
20	2950	19.621736764907837
21	50	0.1370384693145752
21	150	0.3155996799468994
21	250	0.5245687961578369
21	350	0.763718843460083
21	450	1.082596778869629
21	550	1.3711121082305908
21	650	1.7322602272033691
21	750	2.1363141536712646
21	850	2.5621140003204346
21	950	3.030966281890869
21	1050	3.5458996295928955
21	1150	4.145024299621582
21	1250	4.711299180984497
21	1350	5.335061073303223
21	1450	6.028731346130371
21	1550	6.758792400360107
21	1650	7.613507032394409
21	1750	8.24576735496521
21	1850	9.10419750213623
21	1950	9.981106281280518
21	2050	10.843564987182617
21	2150	11.835942029953003
21	2250	12.757185459136963
21	2350	14.091454029083252
21	2450	15.059138059616089
21	2550	15.978153705596924
21	2650	17.1913743019104
21	2750	18.165295362472534
21	2850	19.600554943084717
21	2950	20.886321306228638
22	50	0.1636676788330078
22	150	0.3558821678161621
22	250	0.6036496162414551
22	350	0.9132657051086426
22	450	1.2423522472381592
22	550	1.613917589187622
22	650	2.0226802825927734
22	750	2.2866740226745605
22	850	2.7826850414276123
22	950	3.250412940979004
22	1050	3.7959506511688232
22	1150	4.400833368301392
22	1250	5.061882972717285
22	1350	5.65803599357605
22	1450	6.369024991989136
22	1550	7.144218444824219
22	1650	8.006783962249756
22	1750	8.873080492019653
22	1850	9.666373014450073
22	1950	10.459078073501587
22	2050	11.57891583442688
22	2150	12.484734058380127
22	2250	13.562966108322144
22	2350	14.666157484054565
22	2450	15.542962551116943
22	2550	16.85904550552368
22	2650	18.093119859695435
22	2750	19.23815894126892
22	2850	20.42100238800049
22	2950	21.80950379371643
23	50	0.19903159141540527
23	150	0.40538597106933594
23	250	0.6461653709411621
23	350	0.9296936988830566
23	450	1.2553925514221191
23	550	1.5953664779663086
23	650	2.0294995307922363
23	750	2.4534265995025635
23	850	2.944812536239624
23	950	3.4833905696868896
23	1050	4.026876449584961
23	1150	4.689595460891724
23	1250	5.341719388961792
23	1350	6.135928153991699
23	1450	6.7252562046051025
23	1550	7.598392486572266
23	1650	8.46189546585083
23	1750	9.253304243087769
23	1850	10.125144720077515
23	1950	11.113349437713623
23	2050	12.104663133621216
23	2150	13.305244207382202
23	2250	14.484307527542114
23	2350	15.392635107040405
23	2450	16.570411205291748
23	2550	17.79076600074768
23	2650	18.995350122451782
23	2750	20.232431173324585
23	2850	21.872904300689697
23	2950	22.866568326950073
24	50	0.24831199645996094
24	150	0.46854186058044434
24	250	0.7157468795776367
24	350	1.026378870010376
24	450	1.3584728240966797
24	550	1.7465617656707764
24	650	2.1965503692626953
24	750	2.7679572105407715
24	850	3.181581735610962
24	950	3.747633218765259
24	1050	4.294534683227539
24	1150	5.00290584564209
24	1250	5.7020628452301025
24	1350	6.4359776973724365
24	1450	7.135066747665405
24	1550	8.011377811431885
24	1650	8.859989643096924
24	1750	9.749411582946777
24	1850	10.718733787536621
24	1950	12.236414909362793
24	2050	12.804934978485107
24	2150	13.954861879348755
24	2250	15.039674282073975
24	2350	16.267258167266846
24	2450	17.40690302848816
24	2550	18.733996152877808
24	2650	19.93189024925232
24	2750	21.855158805847168
24	2850	22.72288751602173
24	2950	24.224703073501587
